epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
45,0.582660,0.594872,0.594872,0.475712,0.714032,0.201902,0.708333,0.708333,1.000000,0.416667,0.987847,0.990591,0.588235,0.512989,0.364917,0.378186,0.491912,0.433947,0.979167,0.978723,0.592152,0.592152,0.469064,0.715240,0.200635,0.708333,0.708333,1.000000,0.416667,0.994792,0.995370,0.588235,0.512989,0.380635,0.374107,0.491256,0.429968,0.979167,0.978723
46,0.552366,0.570740,0.570740,0.736587,0.404893,0.191940,0.645833,0.645833,0.585366,1.000000,0.980903,0.986009,0.738462,0.413197,0.380256,0.519887,0.669358,0.604022,0.958333,0.958333,0.565015,0.565015,0.724149,0.405882,0.189053,0.687500,0.687500,0.615385,1.000000,0.993056,0.994048,0.761905,0.480384,0.403474,0.514148,0.668585,0.602355,0.979167,0.978723
47,0.549526,0.572411,0.572411,0.422127,0.722694,0.191706,0.708333,0.708333,1.000000,0.416667,0.987847,0.990591,0.588235,0.512989,0.366167,0.343781,0.489223,0.415792,0.979167,0.978723,0.569330,0.569330,0.414351,0.724309,0.190343,0.708333,0.708333,1.000000,0.416667,0.994792,0.995370,0.588235,0.512989,0.364920,0.338769,0.488336,0.410366,0.979167,0.978723
48,0.561672,0.534412,0.534412,0.556318,0.512506,0.172321,0.937500,0.937500,0.920000,0.958333,0.984375,0.988636,0.938776,0.875761,0.344943,0.425410,0.602979,0.522981,0.979167,0.978723,0.529256,0.529256,0.544587,0.513925,0.169767,0.937500,0.937500,0.920000,0.958333,0.994792,0.995370,0.938776,0.875761,0.343257,0.418888,0.601983,0.515830,0.979167,0.978723
49,0.516851,0.534065,0.534065,0.424752,0.643377,0.172953,0.833333,0.833333,1.000000,0.666667,0.984375,0.988636,0.800000,0.707107,0.344226,0.345069,0.531055,0.440563,0.979167,0.978723,0.529977,0.529977,0.414732,0.645222,0.171119,0.791667,0.791667,1.000000,0.583333,0.994792,0.995370,0.736842,0.641689,0.342659,0.338677,0.529922,0.433064,0.979167,0.978723
50,0.510700,0.502542,0.502542,0.597846,0.407238,0.158950,0.916667,0.916667,0.884615,0.958333,0.980903,0.986009,0.920000,0.836242,0.297974,0.447530,0.670644,0.574636,0.958333,0.958333,0.495298,0.495298,0.581937,0.408658,0.155285,0.937500,0.937500,0.920000,0.958333,0.993056,0.994048,0.938776,0.875761,0.316789,0.439183,0.669460,0.568972,0.979167,0.978723
51,0.510150,0.487927,0.487927,0.560925,0.414928,0.151883,0.937500,0.937500,0.920000,0.958333,0.984375,0.988636,0.938776,0.875761,0.310929,0.426677,0.666450,0.562948,0.979167,0.978723,0.480493,0.480493,0.544535,0.416452,0.148152,0.937500,0.937500,0.920000,0.958333,0.994792,0.995370,0.938776,0.875761,0.308589,0.417755,0.665172,0.555282,0.979167,0.978723
52,0.556258,0.571260,0.571260,0.271020,0.871500,0.196236,0.625000,0.625000,1.000000,0.250000,0.989583,0.991667,0.400000,0.377964,0.347417,0.236782,0.426984,0.318683,0.979167,0.978723,0.568551,0.568551,0.263266,0.873837,0.195407,0.604167,0.604167,1.000000,0.208333,0.996528,0.996795,0.344828,0.340997,0.346040,0.230951,0.425812,0.311483,0.979167,0.978723
53,0.492983,0.503757,0.503757,0.725077,0.282437,0.165196,0.687500,0.687500,0.615385,1.000000,0.982639,0.986900,0.761905,0.480384,0.302761,0.511573,0.758631,0.661011,0.958333,0.958333,0.492991,0.492991,0.702560,0.283423,0.159760,0.729167,0.729167,0.648649,1.000000,0.994792,0.995370,0.786885,0.545250,0.299732,0.501321,0.757620,0.654023,0.979167,0.978723
54,0.459158,0.466741,0.466741,0.417816,0.515666,0.141651,0.916667,0.916667,1.000000,0.833333,0.987847,0.990591,0.909091,0.845154,0.300825,0.339392,0.606485,0.478483,0.979167,0.978723,0.460426,0.460426,0.403185,0.517667,0.138771,0.937500,0.937500,1.000000,0.875000,0.994792,0.995370,0.933333,0.881917,0.298430,0.330095,0.604991,0.467181,0.979167,0.978723
