input_resolution,num_layers,column_group,column,status,success,failed,running,skipped_red,other,total,experiments
512,5,Reuse Factor,RF1,empty,0,0,0,0,0,0,
512,5,Reuse Factor,RF2,empty,0,0,0,0,0,0,
512,5,Reuse Factor,RF4,empty,0,0,0,0,0,0,
512,5,Reuse Factor,RF8,empty,0,0,0,0,0,0,
512,5,Reuse Factor,RF16,empty,0,0,0,0,0,0,
512,5,Reuse Factor,RF32,empty,0,0,0,0,0,0,
512,6,Baseline,P1/2/3,success,1,0,0,0,0,1,res512_layers6_WfloatAfloat_P0_RFbase
512,6,Quantization,W2A2,empty,0,0,0,0,0,0,
512,6,Quantization,W3A3,empty,0,0,0,0,0,0,
512,6,Quantization,W4A4,failed,0,1,0,0,0,1,res512_layers6_W4A4_P0_RFbase
512,6,Quantization,W6A6,failed,0,1,0,0,0,1,res512_layers6_W6A6_P0_RFbase
512,6,Quantization,W8A8,failed,0,1,0,0,0,1,res512_layers6_W8A8_P0_RFbase
512,6,Pruning,P25,empty,0,0,0,0,0,0,
512,6,Pruning,P50,empty,0,0,0,0,0,0,
512,6,Pruning,P75,empty,0,0,0,0,0,0,
512,6,Reuse Factor,RF1,empty,0,0,0,0,0,0,
512,6,Reuse Factor,RF2,empty,0,0,0,0,0,0,
512,6,Reuse Factor,RF4,empty,0,0,0,0,0,0,
512,6,Reuse Factor,RF8,empty,0,0,0,0,0,0,
512,6,Reuse Factor,RF16,empty,0,0,0,0,0,0,
512,6,Reuse Factor,RF32,empty,0,0,0,0,0,0,
512,7,Baseline,P1/2/3,success,1,0,0,0,0,1,res512_layers7_WfloatAfloat_P0_RFbase
512,7,Quantization,W2A2,empty,0,0,0,0,0,0,
512,7,Quantization,W3A3,empty,0,0,0,0,0,0,
512,7,Quantization,W4A4,failed,0,1,0,0,0,1,res512_layers7_W4A4_P0_RFbase
512,7,Quantization,W6A6,failed,0,1,0,0,0,1,res512_layers7_W6A6_P0_RFbase
512,7,Quantization,W8A8,success,1,0,0,0,0,1,res512_layers7_W8A8_P0_RFbase
512,7,Pruning,P25,failed,0,1,0,0,0,1,res512_layers7_W8A8_P25_RFbase
512,7,Pruning,P50,success,1,0,0,0,0,1,res512_layers7_W8A8_P50_RFbase
512,7,Pruning,P75,success,1,0,0,0,0,1,res512_layers7_W8A8_P75_RFbase
512,7,Reuse Factor,RF1,success,1,0,0,0,0,1,res512_layers7_W8A8_P50_RF1
512,7,Reuse Factor,RF2,success,1,0,0,0,0,1,res512_layers7_W8A8_P50_RF2
512,7,Reuse Factor,RF4,success,1,0,0,0,0,1,res512_layers7_W8A8_P50_RF4
512,7,Reuse Factor,RF8,success,1,0,0,0,0,1,res512_layers7_W8A8_P50_RF8
512,7,Reuse Factor,RF16,success,1,0,0,0,0,1,res512_layers7_W8A8_P50_RF16
512,7,Reuse Factor,RF32,success,1,0,0,0,0,1,res512_layers7_W8A8_P50_RF32
1024,2,Baseline,P1/2/3,skipped_red,0,0,0,1,0,1,res1024_layers2_WfloatAfloat_P0_RFbase
1024,2,Quantization,W2A2,empty,0,0,0,0,0,0,
1024,2,Quantization,W3A3,empty,0,0,0,0,0,0,
1024,2,Quantization,W4A4,empty,0,0,0,0,0,0,
1024,2,Quantization,W6A6,empty,0,0,0,0,0,0,
1024,2,Quantization,W8A8,empty,0,0,0,0,0,0,
1024,2,Pruning,P25,empty,0,0,0,0,0,0,
1024,2,Pruning,P50,empty,0,0,0,0,0,0,
1024,2,Pruning,P75,empty,0,0,0,0,0,0,
1024,2,Reuse Factor,RF1,empty,0,0,0,0,0,0,
1024,2,Reuse Factor,RF2,empty,0,0,0,0,0,0,
1024,2,Reuse Factor,RF4,empty,0,0,0,0,0,0,
1024,2,Reuse Factor,RF8,empty,0,0,0,0,0,0,
1024,2,Reuse Factor,RF16,empty,0,0,0,0,0,0,
1024,2,Reuse Factor,RF32,empty,0,0,0,0,0,0,
1024,3,Baseline,P1/2/3,skipped_red,0,0,0,1,0,1,res1024_layers3_WfloatAfloat_P0_RFbase
1024,3,Quantization,W2A2,empty,0,0,0,0,0,0,
1024,3,Quantization,W3A3,empty,0,0,0,0,0,0,
1024,3,Quantization,W4A4,empty,0,0,0,0,0,0,
1024,3,Quantization,W6A6,empty,0,0,0,0,0,0,
1024,3,Quantization,W8A8,empty,0,0,0,0,0,0,
1024,3,Pruning,P25,empty,0,0,0,0,0,0,
1024,3,Pruning,P50,empty,0,0,0,0,0,0,
1024,3,Pruning,P75,empty,0,0,0,0,0,0,
1024,3,Reuse Factor,RF1,empty,0,0,0,0,0,0,
1024,3,Reuse Factor,RF2,empty,0,0,0,0,0,0,
1024,3,Reuse Factor,RF4,empty,0,0,0,0,0,0,
1024,3,Reuse Factor,RF8,empty,0,0,0,0,0,0,
1024,3,Reuse Factor,RF16,empty,0,0,0,0,0,0,
1024,3,Reuse Factor,RF32,empty,0,0,0,0,0,0,
1024,4,Baseline,P1/2/3,failed,0,1,0,0,0,1,res1024_layers4_WfloatAfloat_P0_RFbase_boundary
1024,4,Quantization,W2A2,empty,0,0,0,0,0,0,
1024,4,Quantization,W3A3,empty,0,0,0,0,0,0,
1024,4,Quantization,W4A4,empty,0,0,0,0,0,0,
1024,4,Quantization,W6A6,empty,0,0,0,0,0,0,
1024,4,Quantization,W8A8,empty,0,0,0,0,0,0,
1024,4,Pruning,P25,empty,0,0,0,0,0,0,
1024,4,Pruning,P50,empty,0,0,0,0,0,0,
1024,4,Pruning,P75,empty,0,0,0,0,0,0,
